address	name	status
00401000	FUN_00401000	pseudocode-emitted
004012f0	FUN_004012f0	pseudocode-emitted
004013d0	FUN_004013d0	pseudocode-emitted
004014d0	FUN_004014d0	pseudocode-emitted
00401610	FUN_00401610	pseudocode-emitted
00401710	FUN_00401710	pseudocode-emitted
00401a00	FUN_00401a00	pseudocode-emitted
00401b80	FUN_00401b80	pseudocode-emitted
00402120	FUN_00402120	pseudocode-emitted
00402190	FUN_00402190	pseudocode-emitted
00402260	FUN_00402260	pseudocode-emitted
00402270	FUN_00402270	pseudocode-emitted
004022c0	FUN_004022c0	pseudocode-emitted
00402710	FUN_00402710	pseudocode-emitted
00402920	FUN_00402920	pseudocode-emitted
00402a70	FUN_00402a70	pseudocode-emitted
00402ad0	FUN_00402ad0	pseudocode-emitted
00402be0	FUN_00402be0	pseudocode-emitted
004031b0	__security_check_cookie	pseudocode-emitted
004031c0	memset	pseudocode-emitted
004031d0	__alloca_probe	pseudocode-emitted
00403200	FUN_00403200	pseudocode-emitted
004032f6	___tmainCRTStartup	pseudocode-emitted
00403539	entry	pseudocode-emitted
00403543	___report_gsfailure	pseudocode-emitted
00403659	__CxxUnhandledExceptionFilter	pseudocode-emitted
004036aa	_amsg_exit	pseudocode-emitted
004036b0	__onexit	pseudocode-emitted
00403748	FUN_00403748	pseudocode-emitted
00403751	_atexit	pseudocode-emitted
00403768	FUN_00403768	pseudocode-emitted
004037b4	_XcptFilter	pseudocode-emitted
004037c0	__ValidateImageBase	pseudocode-emitted
00403800	__FindPESection	pseudocode-emitted
00403850	__IsNonwritableInCurrentImage	pseudocode-emitted
0040390c	initterm	pseudocode-emitted
00403912	initterm_e	pseudocode-emitted
00403920	__SEH_prolog4	pseudocode-emitted
00403965	__SEH_epilog4	pseudocode-emitted
00403979	FUN_00403979	pseudocode-emitted
0040399e	FUN_0040399e	pseudocode-emitted
004039c6	FUN_004039c6	pseudocode-emitted
004039c9	___security_init_cookie	pseudocode-emitted
00403a64	_crt_debugger_hook	pseudocode-emitted
00403a6a	terminate	pseudocode-emitted
00403a70	_unlock	pseudocode-emitted
00403a76	__dllonexit	pseudocode-emitted
00403a7c	_lock	pseudocode-emitted
00403a82	except_handler4_common	pseudocode-emitted
00403a88	_invoke_watson	pseudocode-emitted
00403a8e	_controlfp_s	pseudocode-emitted
